cabassous_tatouay;Greater Naked-tailed Armadillo
avahi_laniger;Eastern Woolly Lemur
mustelus_lunulatus;Sicklefin Smooth-hound
mazama_americana;Red Brocket
chrysocyon_brachyurus;Maned Wolf
lemur_catta;Ring-tailed Lemur
cuon_alpinus;Dhole
puma_concolor;Cougar
equus_hemionus;Onager
pan_paniscus;Bonobo
felis_chaus;Jungle Cat
semnopithecus_entellus;Northern Plains Gray Langur
bradypus_variegatus;Brown-throated Sloth
myrmecophaga_tridactyla;Giant Anteater
leptoptilos_javanicus;Lesser Adjutant
propithecus_coquereli;Coquerel's Sifaka
brachyteles_arachnoides;Southern Muriqui
cercopithecus_aethiops;Vervet Monkey
bycanistes_cylindricus;Brown-cheeked Hornbill
varanus_bengalensis;Bengal Monitor
priodontes_maximus;Giant Armadillo
struthio_camelus;Common Ostrich
ciconia_episcopus;Woolly-necked Stork
spheniscus_magellanicus;Magellanic Penguin
panthera_pardus;Leopard
pan_troglodytes;Chimpanzee
chelonia_mydas;Green Sea Turtle
panthera_uncia;Snow Leopard
pavo_cristatus;Indian Peafowl
alcelaphus_buselaphus;Hartebeest
papio_anubis;Olive Baboon
potamochoerus_larvatus;Bushpig
giraffa_camelopardalis;Giraffe
eretmochelys_imbricata;Hawksbill Sea Turtle
acinonyx_jubatus;Cheetah
oreotragus_oreotragus;Klipspringer
hippotragus_niger;Sable Antelope
civettictis_civetta;African Civet
alouatta_seniculus;Red Howler Monkey
vultur_gryphus;Andean Condor
colobus_guereza;Eastern Black-and-white Colobus
hydrochaeris_hydrochaeris;Capybara
oryx_beisa;Beisa Oryx
cercocebus_agilis;Agile Mangabey
potamochoerus_porcus;Red River Hog
inia_geoffrensis;Amazon River Dolphin
manis_gigantea;Giant Pangolin
harpia_harpyja;Harpy Eagle
panthera_onca;Jaguar
odocoileus_virginianus;White-tailed Deer
tapirus_terrestris;South American Tapir
tapirus_bairdii;Baird's Tapir
phacochoerus_africanus;Common Warthog
orycteropus_afer;Aardvark
tragelaphus_scriptus;Bushbuck
kobus_ellipsiprymnus;Waterbuck
tragelaphus_strepsiceros;Greater Kudu
tragelaphus_imberbis;Lesser Kudu
connochaetes_taurinus;Blue Wildebeest
panthera_leo;Lion
leopardus_pardalis;Ocelot
leopardus_wiedii;Margay
canis_lupus;Gray Wolf
canis_mesomelas;Black-backed Jackal
canis_adustus;Side-striped Jackal
lycaon_pictus;African Wild Dog
syncerus_caffer;African Buffalo
loxodonta_africana;African Elephant
loxodonta_cyclotis;Forest Elephant
equus_grevyi;Grevy's Zebra
equus_quagga;Plains Zebra
equus_zebra;Mountain Zebra
ceratotherium_simum;White Rhinoceros
diceros_bicornis;Black Rhinoceros
gorilla_gorila;Western Gorilla
propithecus_diadema;Diademed Sifaka
propithecus_verreauxi;Verreaux's Sifaka
propithecus_candidus;Silky Sifaka
eulemur_fulvus;Brown Lemur
eulemur_albifrons;White-fronted Lemur
eulemur_mongoz;Mongoose Lemur
eulemur_rufus;Red Lemur
eulemur_rubriventer;Red-bellied Lemur
indri_indri;Indri
varecia_variegata;Black-and-white Ruffed Lemur
varecia_rubra;Red Ruffed Lemur
lemur_catta;Ring-tailed Lemur
macaca_fascicularis;Crab-eating Macaque
macaca_mulatta;Rhesus Macaque
alouatta_guariba;Brown Howler Monkey
alouatta_caraya;Black Howler Monkey
alouatta_macconelli;Guyanan Red Howler
alouatta_palliata;Mantled Howler
saguinus_oedipus;Cotton-top Tamarin
saguinus_midas;Golden-handed Tamarin
saguinus_bicolor;Pied Tamarin
ateles_paniscus;Red-faced Spider Monkey
espeletia;Frailejón
ateles_geoffroyi;Geoffroy's Spider Monkey
lagothrix_lagotricha;Brown Woolly Monkey
chiropotes_sagulatus;Bearded Saki
cercopithecus_mona;Mona Monkey
cercopithecus_neglectus;De Brazza's Monkey
cercopithecus_mitis;Blue Monkey
cercopithecus_erythrotis;Red-eared Monkey
cercopithecus_preussi;Preuss's Monkey
cercopithecus_aethiops;Vervet Monkey
papio_anubis;Olive Baboon
papio_cynocephalus;Yellow Baboon
papio_ursinus;Chacma Baboon
theropithecus_gelada;Gelada
mandrillus_leucophaeus;Drill
mandrillus_sphinx;Mandrill
colobus_badius;Western Red Colobus
colobus_guereza;Eastern Black-and-white Colobus
cercopithecus_lhoesti;L'Hoest's Monkey
cercopithecus_pogonias;Crested Mona Monkey
cercopithecus_diana;Diana Monkey
cercopithecus_wolfi;Wolf's Mona Monkey
cercopithecus_cephus;Mustached Monkey
cercopithecus_nictitans;Greater Spot-nosed Monkey
cercopithecus_campbelli;Campbell's Monkey
cercopithecus_sclateri;Sclater's Monkey
cercopithecus_solatus;Sun-tailed Monkey
cephalphus_duikers;Duikers
eudorcas_thomsonii;Thomson's Gazelle
buffalo_syncerus;African Buffalo
taurotragus_oryx;Common Eland
tupinambis_teguixin;Gold Tegu
sotalia_guianensis;Guiana Dolphin
cryptoprocta_ferox;Fossa
caretta_caretta;Loggerhead Sea Turtle
hylochoerus_meinertzhageni;Giant Forest Hog
styracura_pacifica;Pacific Chupare
rhacophorus_annamensis;Annam Flying Frog
hyemoschus_aquaticus;Water Chevrotain
eunectes_murinus;Green Anaconda
semaprochilodus_insignis;Flag-tailed Prochilodus
hypanus_longus;Longtail Stingray
hippopotamus_amphibius;Hippopotamus
osteolaemus_tetraspis;Dwarf Crocodile
ardea_humbloti;Humblot's Heron
dermochelys_coriacea;Leatherback Sea Turtle
brachypteracias_leptosomus;Short-legged Ground Roller
pyxis_arachnoides;Spider Tortoise
cercopithecus_mona;Mona Monkey
chiropotes_sagulatus;Bearded Saki
atelopus_mittermeieri;Mittermeier's Stubfoot Toad
pygathrix_nemaeus;Red-shanked Douc
equus_grevyi;Grevy's Zebra
trachypithecus_geei;Gee's Golden Langur
bolborhynchus_ferrugineifrons;Rusty-fronted Parakeet
atelocynus_microtis;Short-eared Dog
pseudoplatystoma_fasciatum;Barred Sorubim
sapajus_apella;Tufted Capuchin
chauna_chavaria;Northern Screamer
nasua_nasua;South American Coati
pecari_tajacu;Collared Peccary
lutjanus_guttatus;Spotted Rose Snapper
sus_scrofa;Wild Boar
metachirus_nudicaudatus;Brown Four-eyed Opossum
penelope_perspicax;Cauca Guan
tremarctos_ornatus;Andean Bear
bycanistes_albotibialis;White-thighed Hornbill
amazona_autumnalis;Red-lored Amazon
common_eider;Common Eider
tinamus_guttatus;White-throated Tinamou
crowned_crane;Crowned Crane
fregata_magnificens;Magnificent Frigatebird
eulemur_fulvus;Brown Lemur
pristis_pristis;Largetooth Sawfish
vulpes_vulpes;Red Fox
hapalemur_griseus;Eastern Lesser Bamboo Lemur
odocoileus_goudotii;Gray Brocket
haliaeetus_vociferoides;Madagascar Fish Eagle
kobus_vardonii;Puku
aepyceros_melampus;Impala
cichla_monoculus;Peacock Bass
cercopithecus_neglectus;De Brazza's Monkey
cephalophus_dorsalis;Bay Duiker
aotus_azarae;Azara's Night Monkey
thunnus_albacares;Yellowfin Tuna
bos_javanicus;Banteng
agouti_paca;Lowland Paca
burkea_africana;Burkea Africana
sotalia_fluviatilis;Tucuxi
manis_javanica;Sunda Pangolin
rupicola_rupicola;Guianan Cock-of-the-rock
crocodylus_acutus;American Crocodile
lycaon_pictus;African Wild Dog
lepus_nigricollis;Indian Hare
cichla_ocellaris;Peacock Bass
pauxi_pauxi;Helmeted Curassow
saguinus_oedipus;Cotton-top Tamarin
macaca_fascicularis;Crab-eating Macaque
morpho_helenor;Blue Morpho
bos_gaurus;Gaur
xanthopsar_flavus;Saffron-cowled Blackbird
leopardus_pardalis;Ocelot
bycanistes_fistulator;Black-and-white-casqued Hornbill
alouatta_guariba;Brown Howler Monkey
erethizon_dorsatum;North American Porcupine
eulemur_albifrons;White-fronted Lemur
veterinary_procedure;Veterinary Procedure
pygathrix_cinerea;Gray-shanked Douc
bdeogale_crassicauda;Bushy-tailed Mongoose
viverricula_indica;Small Indian Civet
blastocerus_dichotomus;Marsh Deer
colobus_badius;Western Red Colobus
madoqua_kirkii;Kirk's Dik-dik
anadara_tuberculosa;Mangrove Cockle
tayassu_pecari;White-lipped Peccary
sphyrna_lewini;Scalloped Hammerhead
tamandua_mexicana;Northern Tamandua
eubalaena_australis;Southern Right Whale
chironectes_minimus;Water Opossum
rucervus_eldii;Eld's Deer
philander_oposum;Gray Four-eyed Opossum
procellaria_cinerea;Grey Petrel
macaca_mulatta;Rhesus Macaque
steno_bredanensis;Rough-toothed Dolphin
aratinga_solstitialis;Sun Parakeet
patrol_pilot;Patrol Pilot
african_civet;African Civet
dendrohyrax_dorsalis;Western Tree Hyrax
podocnemis_unifilis;Yellow-spotted River Turtle
trichechus_inunguis;Amazonian Manatee
chelonias_mydas;Green Sea Turtle
capra_sibirica;Siberian Ibex
okapia_johnstoni;Okapi
cercopithecus_mitis;Blue Monkey
cercopithecus_erythrotis;Red-eared Monkey
smutsia_gigantea;Giant Pangolin
ricinus_communus;Castor Oil Plant
priodontes_maximus;Giant Armadillo
struthio_camelus;Common Ostrich
crax_alberti;Blue-billed Curassow
ciconia_episcopus;Woolly-necked Stork
pontoporia_blainvillei;La Plata Dolphin
coua_caerulea;Blue Coua
aetobatus_laticeps;Pacific Eagle Ray
herpailurus_yagouaroundi;Jaguarundi
tragelaphus_imberbis;Lesser Kudu
ara_ararauna;Blue-and-yellow Macaw
panthera_pardus;Leopard
pan_troglodytes;Chimpanzee
cephalophus_silvicultor;Yellow-backed Duiker
lagothrix_lagotricha;Brown Woolly Monkey
chelonia_mydas;Green Sea Turtle
palm_civet;Palm Civet
panthera_uncia;Snow Leopard
pavo_cristatus;Indian Peafowl
prosopis;Mesquite
cichla_temensis;Speckled Peacock Bass
podocnemis_sextuberculata;Six-tubercled Amazon River Turtle
connochaetes_taurinus;Blue Wildebeest
tapirus_pinchaque;Tapirus Pinchaque
alcelaphus_buselaphus;Hartebeest
buteo_swainsoni;Swainson's Hawk
papio_anubis;Olive Baboon
merganetta_armata;Torrent Duck
indri_indri;Indri
mazama_gouazoubira;Gray Brocket
dolichonyx_oryzivorus;Dolichonyx Oryzivorus
potamochoerus_larvatus;Bushpig
colibri_serrirostris;Serrated Hermit
hevea_brasiliensis;Rubber Tree
pteronura_brasiliensis;Giant Otter
saguinus_midas;Golden-handed Tamarin
forestry_services;Forestry Services
anolis_agassizi;Agassiz's Anole
giraffa_camelopardalis;Giraffe
eretmochelys_imbricata;Hawksbill Sea Turtle
saimiri_sciureus;Common Squirrel Monkey
quercus_humboldtii;Quercus Humboldtii
pyrrhura_calliptera;Flame-winged Parakeet
steatornis_caripensis;Oilbird
aotus_vociferans;Night Monkey
bougainvillea_species;Bougainvillea
amazona_amazonica;Orange-winged Amazon
topaza_pella;Crimson Topaz
falco_cherrug;Saker Falcon
iguana_iguana;Green Iguana
cephalopterus_penduliger;Long-wattled Umbrellabird
afropavo_congensis;Congo Peafowl
ursus_thibetanus;Asian Black Bear
hyaena_rown;Spotted Hyena
cebus_apella;Tufted Capuchin
commiphora_ns;Commiphora Ns
pseudibis_davisoni;White-shouldered Ibis
athelestes_geoffroyi;Geoffroy's Spider Monkey
sylvilagus_brasiliensis;Tapeti
parachoerus_wagneri;Chacoan Peccary
procavia_capensis;Rock Hyrax
tapirus_terrestris;South American Tapir
cardisoma_crassum;Blue Land Crab
salvator_rufescens;Red Monitor
thalassarche_chlororhynchos;Yellow-nosed Albatross
ovis_ammon;Argali
capricornis_sumatraensis;Sumatran Serow
cephalophus_callipygus;Peter's Duiker
anthracoceros_albirostris;Oriental Pied Hornbill
terminalia;Terminalia
canis_lupus;Gray Wolf
buceros_bicornis;Great Hornbill
oxyura_jamaicensis;Ruddy Duck
python_molurus;Indian Python
caiman_latirostris;Broad-snouted Caiman
medium_duiker;Medium Duiker
pipile_cumanensis;Blue-throated Piping Guan
